,vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC_purity,Quantity,Unit,Unit_mass_in_grams,Total_mass_in_grams
0,Cannabuds,-1.0,51.5,2018-11-01 0:00:00,4g Shatter! Lemon Tree! New Vendor Special!,0.0,0,0.0,0.0,0.0,0,4.0,4.0
1,Cannabuds,-1.0,11.67,2018-07-04 0:00:00,1g Rosin! Lemon Tree! (Nug run) New Vendor Special!,0.0,0,0.0,0.0,0.0,0,1.0,1.0
2,Cannabuds,-1.0,138.0,2018-12-08 0:00:00,1 oz Master Kush! New Vendor Special,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
3,Cannabuds,-1.0,108.0,2018-08-07 0:00:00,1 oz Fruity Pebbles OG! New Vendor Special,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
4,Cannabuds,-1.0,60.0,2018-12-23 0:00:00,5g Shatter! Lemon Tree! New Vendor Special!,0.0,0,0.0,0.0,0.0,0,5.0,5.0
5,Cannabuds,-1.0,55.0,2018-07-20 0:00:00,5g Shatter! Lemon Tree! (Nug run) New Vendor Special!,0.0,0,0.0,0.0,0.0,0,1.0,1.0
6,Cannabuds,-1.0,10.36,2018-07-07 0:00:00,1g Shatter! Lemon Tree! (Nug run) New Vendor Special!,0.0,0,0.0,0.0,0.0,0,1.0,1.0
7,Cannabuds,-1.0,70.0,2018-12-07 0:00:00,1/2 ozMaster Kush! New Vendor Special,0.0,0,0.0,0.0,0.5,oz,0.0,14.175
8,Cannabuds,-1.0,58.0,2018-08-18 0:00:00,1/2 oz Fruity Pebbles OG! New Vendor Special,0.0,0,0.0,0.0,0.5,oz,0.0,14.175
9,DrFrosty,-1.0,45.0,2019-01-01 0:00:00,1.75 Teen,0.0,0,0.0,0.0,0.0,0,0.0,0.0
10,Cannabuds,-1.0,57.0,2019-01-08 0:00:00,14g Gorilla Glue! Special,0.0,0,0.0,0.0,0.0,0,14.0,14.0
11,Cannabuds,-1.0,40.0,2018-09-12 0:00:00,7g Gorilla Glue! Special,0.0,0,0.0,0.0,0.0,0,7.0,7.0
12,Cannabuds,-1.0,138.0,2018-12-30 0:00:00,OG Kush! 28g,0.0,0,0.0,0.0,0.0,0,28.0,28.0
13,Vintage,-1.0,46.92,2018-11-03 0:00:00,3.5G White Widow @Fresh@ Limited- Free delivery,0.0,0,0.0,0.0,0.0,0,3.5,3.5
14,Cannabuds,-1.0,129.0,2018-12-23 0:00:00,1 oz Blue Dream! Special,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
