,transaction_id,vendor_id,vendor_name,product_description,date,drug_prediction
9522,'10620,572,aussiebud,?28G?  AUSSIE BUD (HYDRO),2018-08-08 06:43:50,marijuana
9523,'10621,572,aussiebud,?28G?  AUSSIE BUD (HYDRO),2018-08-02 06:43:50,marijuana
9524,'10622,572,aussiebud,?28G?  AUSSIE BUD (HYDRO),2018-07-25 06:43:50,marijuana
9637,'10735,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-16 06:45:02,others
9638,'10736,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-18 06:45:02,others
9639,'10737,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-16 06:45:02,others
9641,'10739,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-25 06:45:02,others
9642,'10740,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-16 06:45:02,others
9644,'10742,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-18 06:45:02,others
9646,'10744,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-27 06:45:02,others
9647,'10745,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-23 06:45:02,others
9648,'10746,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-23 06:45:02,others
9649,'10747,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-19 06:45:02,others
9650,'10748,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-27 06:45:02,others
9652,'10750,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-26 06:45:02,others
9653,'10751,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-18 06:45:02,others
9654,'10752,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-14 06:45:02,others
9655,'10753,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-10-18 06:45:02,others
9656,'10754,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-23 06:45:02,others
9657,'10755,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-18 06:45:02,others
9658,'10756,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-10 06:45:02,others
9659,'10757,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-10-22 06:45:02,others
9660,'10758,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-04 06:45:02,others
9661,'10759,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-11 06:45:02,others
9662,'10760,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-11 06:45:02,others
9663,'10761,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-11 06:45:02,others
9664,'10762,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-15 06:45:02,others
9665,'10763,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-13 06:45:02,others
9666,'10764,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-17 06:45:02,others
9667,'10765,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-12-15 06:45:02,others
9668,'10766,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-08-31 06:45:02,others
9669,'10767,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-09-06 06:45:02,others
9670,'10768,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-11-11 06:45:02,others
9671,'10769,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-08-27 06:45:02,others
9672,'10770,615,ausroids.is,Ultimate Anabolics Testosterone Enanthate 250mg/ml,2018-08-09 06:45:02,others
