,drug_co,occurs
0,"('morphine', 'opioids')",723
1,"('benzodiazepine', 'opioids')",606
2,"('6_mam', 'opioids')",565
3,"('6_mam', 'morphine')",562
4,"('codeine', 'opioids')",533
5,"('6_mam', 'codeine')",531
6,"('6_mam', 'heroin_from_combo')",531
7,"('codeine', 'heroin_from_combo')",531
8,"('codeine', 'morphine')",531
9,"('heroin_from_combo', 'morphine')",531
10,"('heroin_from_combo', 'opioids')",531
11,"('alcohols', 'ethanol')",365
12,"('benzodiazepine', 'morphine')",341
13,"('fentanyl', 'opioids')",337
14,"('hydrocodone', 'opioids')",264
15,"('6_mam', 'benzodiazepine')",264
16,"('alcohols', 'opioids')",261
17,"('ethanol', 'opioids')",261
18,"('benzodiazepine', 'codeine')",251
19,"('benzodiazepine', 'heroin_from_combo')",251
20,"('hydromorphone', 'opioids')",239
21,"('cocaine', 'opioids')",239
22,"('opioids', 'oxycodone')",234
23,"('amphetamines', 'opioids')",204
24,"('opioids', 'oxymorphone')",200
25,"('benzodiazepine', 'hydrocodone')",189
26,"('amphetamines', 'methamphetamine')",173
27,"('fentanyl', 'norfentanyl')",173
28,"('norfentanyl', 'opioids')",173
29,"('alcohols', 'morphine')",171
30,"('ethanol', 'morphine')",171
31,"('cocaine', 'morphine')",171
32,"('benzodiazepine', 'hydromorphone')",168
33,"('oxycodone', 'oxymorphone')",160
34,"('benzodiazepine', 'oxycodone')",158
35,"('hydrocodone', 'hydromorphone')",153
36,"('6_mam', 'cocaine')",147
37,"('6_mam', 'alcohols')",146
38,"('6_mam', 'ethanol')",146
39,"('benzodiazepine', 'oxymorphone')",145
40,"('benzodiazepine', 'fentanyl')",143
41,"('cocaine', 'codeine')",140
42,"('cocaine', 'heroin_from_combo')",140
43,"('alcohols', 'codeine')",137
44,"('alcohols', 'heroin_from_combo')",137
45,"('codeine', 'ethanol')",137
46,"('ethanol', 'heroin_from_combo')",137
47,"('hydromorphone', 'morphine')",136
48,"('alcohols', 'benzodiazepine')",135
49,"('benzodiazepine', 'ethanol')",135
50,"('amphetamines', 'morphine')",129
51,"('methamphetamine', 'opioids')",129
52,"('opioids', 'thc_aggregate')",125
53,"('benzodiazepine', 'cocaine')",114
54,"('fentanyl', 'morphine')",113
55,"('6_mam', 'amphetamines')",108
56,"('hydrocodone', 'morphine')",107
57,"('alcohols', 'cocaine')",101
58,"('cocaine', 'ethanol')",101
59,"('amphetamines', 'benzodiazepine')",96
60,"('amphetamines', 'codeine')",96
61,"('amphetamines', 'heroin_from_combo')",96
62,"('6_mam', 'hydromorphone')",90
