vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
Cannabuds,-1,51.5,2018-11-01 0:00:00,4g Shatter! Lemon Tree! New Vendor Special!,,,,,,,4,
Cannabuds,-1,11.67,2018-07-04 0:00:00,1g Rosin! Lemon Tree! (Nug run) New Vendor Special!,,,,,,,1,
Cannabuds,-1,138,2018-12-08 0:00:00,1 oz Master Kush! New Vendor Special,,,,,1,oz,,
Cannabuds,-1,108,2018-08-07 0:00:00,1 oz Fruity Pebbles OG! New Vendor Special,,,,,1,oz,,
Cannabuds,-1,60,2018-12-23 0:00:00,5g Shatter! Lemon Tree! New Vendor Special!,,,,,,,5,
Cannabuds,-1,55,2018-07-20 0:00:00,5g Shatter! Lemon Tree! (Nug run) New Vendor Special!,,,,,,,1,
Cannabuds,-1,10.36,2018-07-07 0:00:00,1g Shatter! Lemon Tree! (Nug run) New Vendor Special!,,,,,,,1,
Cannabuds,-1,70,2018-12-07 0:00:00,1/2 ozMaster Kush! New Vendor Special,,,,,0.5,oz,,
Cannabuds,-1,58,2018-08-18 0:00:00,1/2 oz Fruity Pebbles OG! New Vendor Special,,,,,0.5,oz,,
DrFrosty,-1,45,2019-01-01 0:00:00,1.75 Teen,,,,,,,,
Cannabuds,-1,57,2019-01-08 0:00:00,14g Gorilla Glue! Special,,,,,,,14,
Cannabuds,-1,40,2018-09-12 0:00:00,7g Gorilla Glue! Special,,,,,,,7,
Cannabuds,-1,138,2018-12-30 0:00:00,OG Kush! 28g,,,,,,,28,
Vintage,-1,46.92,2018-11-03 0:00:00,3.5G White Widow @Fresh@ Limited- Free delivery,,,,,,,3.5,
Cannabuds,-1,129,2018-12-23 0:00:00,1 oz Blue Dream! Special,,,,,1,oz,,
Cannabuds,-1,63,2018-12-19 0:00:00,Vape cartridges! 1 gram Buy 1 Get 1 FREE! 80% Pure THC with natural terps!,,1,,80,,,,
Cannabuds,-1,55,2018-11-08 0:00:00,Vape cartridges! Buy 1 Get 1 FREE! 90% Pure THC with natural terps!,,1,,90,,,,
SoulGrowers,-1,152.88,2018-12-08 0:00:00,WARLOCK ? 14 Gram ? HIGH GRADE,,,,,,,14,
SoulGrowers,-1,142.28,2018-11-08 0:00:00,CRITICAL KUSH - 14 Gram - Coffeeshop Quality,,,,,,,14,
SoulGrowers,-1,73.14,2018-11-04 0:00:00,OG KUSH - 7 Gr.  - Indoor - Hydroponic - 25% THC,,,,25,,,7,
SoulGrowers,-1,61.52,2018-09-18 0:00:00,OG KUSH - 5 Gr.  - Indoor - Hydroponic - 25% THC,,,,25,,,5,
SoulGrowers,-1,99.42,2018-07-13 0:00:00,***INTRO OFFER*** 10 Grams AK47 - ONLY Top Shelf - Indoor/Hydroponic,,,,,,,10,
HeinekenExpress,-1,179.81,2018-07-20 0:00:00,?Amnesia Haze 22% THC?Bulk Price\'s €5.50?,,,,22,,,,
Humbleman,-1,45.72,2018-12-15 0:00:00,5g AMNESIA KUSH 20% THC (FREE SHIPPING),,,,20,,,5,
Humbleman,-1,46.97,2018-12-09 0:00:00,5g AMNESIA HAZE x OG KUSH 20% THC (FAST FREE SHIPPING 4 Days Avg),,,,20,,,5,
Humbleman,-1,46.32,2018-11-26 0:00:00,5g AMNESIA HAZE x OG KUSH 20% THC (FREE SHIPPING),,,,20,,,5,
Humbleman,-1,11.39,2018-09-17 0:00:00,1g OG Kush 24%THC Sample (FREE SHIPPING),,,,24,,,1,
Cannabuds,-1,133.5,2019-01-01 0:00:00,1 oz Sunset Sherbert! New Vendor Special,,,,,1,oz,,
Cannabuds,-1,54,2019-01-06 0:00:00,7 grams Sunset Sherbert! New Vendor Special,,,,,,,7,
emeraldgemini,-1,24.5,2018-12-13 0:00:00,NEW OPTION 3ml THC CannaJuice For Ecigs All New Formula!!,,1,,,3,ml,,
Cannabuds,-1,92,2018-12-24 0:00:00,7g Shatter! Lemon Tree! New Vendor Special!,,,,,,,7,
Cannabuds,-1,58,2018-09-29 0:00:00,OG Kush! 14g,,,,,,,14,
SoulGrowers,-1,73.25,2018-11-19 0:00:00,CRITICAL KUSH - 7 Gram - Coffeeshop Quality,,,,,,,7,
SoulGrowers,-1,24.78,2018-10-13 0:00:00,CRITICAL KUSH - 2 Gr. - Coffeeshop Quality -AAA+,,,,,,,2,
SoulGrowers,-1,92.67,2018-08-30 0:00:00,*offer* CRITICAL KUSH - 10 Gr. - Coffeeshop Quality -AAA+,,,,,,,10,
SoulGrowers,-1,98.79,2018-07-24 0:00:00,100% BIO Weed - Critical Plus - 10 Grams,,,,,,,10,
JuryNullification,-1,200,2019-01-03 0:00:00,28g Headband Organic Wax - FE,,1,,,,,28,
emeraldgemini,-1,23,2018-12-20 0:00:00,StarBurst Flavored Edible 200MG Squares BUY3GET1FR,3,,1,,,,0.2,
Cannabuds,-1,101.5,2018-09-14 0:00:00,7g Sugar Wax Special! Lemon Tree (Nug run),,,,,,,7,
Humbleman,-1,93.13,2018-12-28 0:00:00,10G AMNESIA KUSH 20% THC,,,,20,,,10,
Humbleman,-1,79.71,2018-11-20 0:00:00,10G AMNESIA HAZE x OG KUSH 20% THC (FAST FREE SHIPPING 4 Days Avg),,,,20,,,10,
Humbleman,-1,57.85,2018-08-25 0:00:00,5G OG KUSH 24% THC OFFER,,,,24,,,5,
JuryNullification,-1,16,2019-01-07 0:00:00,1g OG Kush Organic Stable Shatter,,,,,,,1,
Cannabuds,-1,74,2019-01-05 0:00:00,2 Pack Brass Knuckle Vape cartridges! 1 gram 90% Pure THC with natural terps!,2,1,,90,,,1,
Cannabuds,-1,349,2018-11-04 0:00:00,1 oz Stable Shatter! BHO Special! OG Kush,,,,,1,oz,,
Cannabuds,-1,345,2018-07-14 0:00:00,1 oz Stable Shatter! BHO Special! OG Kush (Nug run),,,,,1,oz,,
